,date,headline,section,word_count
10966,2016-02-15T00:00:00Z,"Paid Notice: Memorials  SCHULMAN KLOTZ, BRENDA FEB",Paid Death Notices,33
10967,2016-02-15T00:00:00Z,"Paid Notice: Deaths  KAUFMANN, PEGGY WEIL",Paid Death Notices,80
10968,2016-02-15T00:00:00Z,"Paid Notice: Deaths  PETERS, MARGERY ANTLE (NEE WATSON)",Paid Death Notices,86
10969,2016-02-15T00:00:00Z,"Paid Notice: Deaths  MENDELSON, DAVID",Paid Death Notices,37
10970,2016-02-15T00:00:00Z,"Paid Notice: Memorials  KROLL, ARTHUR H",Paid Death Notices,22
10971,2016-02-15T00:00:00Z,"Paid Notice: Deaths  WEINRIB, JEROME",Paid Death Notices,37
10972,2016-02-15T00:00:00Z,Rangers Lead With Their Fists in a Much-Needed Victory Over the Flyers,Sports,856
10973,2016-02-15T00:00:00Z,N.B.A. Game of the Week: Cavaliers at Thunder,Sports,780
10974,2016-02-15T00:00:00Z,New York Times Journalists Among Winners of 2015 Polk Awards,N.Y. / Region,1017
10975,2016-02-15T00:00:00Z,Players Who Start March Like Lions Often Go Out Like Lambs,Sports,833
10976,2016-02-15T00:00:00Z,Scalia’s Absence Is Likely to Alter Court’s Major Decisions This Term,U.S.,1367
10977,2016-02-15T00:00:00Z,Arsenal and Spurs Come Away Winners in Matchups of Top Four,Sports,768
10978,2016-02-15T00:00:00Z,Parade in Chinatown Raises Spirits During a Record Plunge in Temperature,N.Y. / Region,979
10979,2016-02-15T00:00:00Z,"UConn Rolls, Though Only After Temple Threatens ",Sports,691
10980,2016-02-15T00:00:00Z,"With Death of Antonin Scalia, an Already Volatile Campaign Erupts",U.S.,1222
10981,2016-02-15T00:00:00Z,"Warren Manzi, Author of New York’s Longest-Running Play, Dies at 60",Theater,782
10982,2016-02-15T00:00:00Z,"Malawi Gets Its First Grammy Nomination, With Album by Prison Inmates",World,1415
10983,2016-02-15T00:00:00Z,Jeb Bush Adds a Weapon (His Brother) Despite Worries It Could Misfire,U.S.,1286
10984,2016-02-15T00:00:00Z,"Questions for the E.C.B. Leader, Fed Minutes and Walmart Earnings",Business Day,676
10985,2016-02-15T00:00:00Z,Brits Off Broadway Festival Announces Lineup,Theater,235
10986,2016-02-15T00:00:00Z,Trial Illuminates Porsches’ Rise to Power at Volkswagen,Business Day,1595
10987,2016-02-15T00:00:00Z,"Kobe Bryant, in His Final Lap, Is Happy to Surrender the Midseason Stage",Sports,1076
10988,2016-02-15T00:00:00Z,"In Mexican Slum, Pope Francis Laments Economic Gap",World,921
10989,2016-02-15T00:00:00Z,"In Queens, Antonin Scalia Took Pride in Melting Pot and Confrontation",N.Y. / Region,1087
10990,2016-02-15T00:00:00Z,Pilgrimage in Mexico Keeps a Cowboy Tradition Alive,World,1026
10991,2016-02-15T00:00:00Z,"At United Pickle, Preserving the Standards of a Deli Staple",N.Y. / Region,1024
10992,2016-02-15T00:00:00Z,New Report of U.S.-Made Cluster Bomb Use by Saudis in Yemen,World,488
10993,2016-02-15T00:00:00Z,Not Part of Video’s Script: An Arrest for Flying a Drone,N.Y. / Region,783
10994,2016-02-15T00:00:00Z,"On the Move in New York, on Bicycles Built for More Than 2",N.Y. / Region,808
10995,2016-02-15T00:00:00Z,Brazil Pushes Public to Do Its Part in Fighting Zika Spread,World,1207
10996,2016-02-15T00:00:00Z,Keith Kinkaid’s First Career Shutout Helps Devils Move Into Third Place,Sports,860
10997,2016-02-15T00:00:00Z,HSBC to Keep Headquarters in London Instead of Hong Kong,Business Day,576
10998,2016-02-15T00:00:00Z,German Spurts From Fifth to First in Slalom in Japan,Sports,388
10999,2016-02-15T00:00:00Z,Zika Virus Increases Concerns About Employee Safety,Business Day,1052
11000,2016-02-15T00:00:00Z,Severe Contraction and Falling Prices in Japan Signal Tough Test for Abenomics,Business Day,544
11001,2016-02-15T00:00:00Z,Revolution Is Absent From Runways,Fashion & Style,1103
11002,2016-02-15T00:00:00Z,"Guns Blazing, Tombstone Is Back to Its Past",U.S.,840
11003,2016-02-15T00:00:00Z,Tombstone Survives on Spirit of the Wild West,U.S.,24
11004,2016-02-15T00:00:00Z,"Jakob Denzinger, Suspected Nazi Prison Guard, Dies at 91",World,235
11005,2016-02-15T00:00:00Z,Provisional President Elected in Haiti,World,183
11006,2016-02-15T00:00:00Z,New York Parking Alert: Alternate-Side Rules Suspended on Monday,N.Y. / Region,22
11007,2016-02-15T00:00:00Z,"Esperanza Aguirre, an Official in Spain’s Governing Party, Quits Amid Corruption Claims",World,692
11008,2016-02-15T00:00:00Z,"HomeAway, a Home Rental Service, Mocks the Competition",Business Day,793
11009,2016-02-15T00:00:00Z,A Leisurely Return for the New York State Legislature,N.Y. / Region,1431
11010,2016-02-15T00:00:00Z,The Lone Wolf at the Westminster Dog Show,Sports,1081
11011,2016-02-15T00:00:00Z,"Review: In Álvaro Enrigue’s ‘Sudden Death,’ a Farcical Duel With Topspin",Books,1091
11012,2016-02-15T00:00:00Z,"In Grammy Race, the Band Highly Suspect Marvels at Its Surprising Double Shot",Arts,935
11013,2016-02-15T00:00:00Z,"Review: Kanye West’s ‘The Life of Pablo,’ Songs of Praise and Self",Arts,1262
11014,2016-02-15T00:00:00Z,"For ‘Hangmen’ and ‘Escaped Alone,’ Connecting Threads in London",Theater,1250
11015,2016-02-15T00:00:00Z,Treasury Auctions Set for the Week of Feb. 15,Business Day,365
11016,2016-02-15T00:00:00Z,Review: ‘La Sylphide’ Is City Ballet’s Bittersweet Valentine,Arts,501
11017,2016-02-15T00:00:00Z,‘Super PAC’ Follows Jeb Bush in Taking Donald Trump to Task,U.S.,516
11018,2016-02-15T00:00:00Z,‘Deadpool’ Breaks Box Office Records for R-Rated Film,Movies,757
11019,2016-02-15T00:00:00Z,"Micklethwait’s Balancing Act, After a Year as Bloomberg Editor in Chief",Business Day,1366
11020,2016-02-15T00:00:00Z,Man Pleads Not Guilty in Stabbing of Woman and Her Daughters on Staten Island,N.Y. / Region,380
11021,2016-02-15T20:40:00Z,Arsenal Cuts the Gap With a Comeback Against Leicester,Sports,700
11022,2016-02-15T00:00:00Z,‘Mourning Lincoln’ Wins Book Prize,Books,217
11023,2016-02-15T00:00:00Z,Ranch Owner Recalls Finding Justice Antonin Scalia’s Body,U.S.,680
11024,2016-02-15T00:00:00Z,"Pregame Drills Lacked Flash, but Now They’re Jam-Packed",Sports,1029
11025,2016-02-15T00:00:00Z,Syria Accord Looms Over Europe Security Meeting,World,926
11026,2016-02-15T00:00:00Z,"Review: ‘Better Call Saul,’ Quirky and Absorbing in Season Opener",Arts,850
11027,2016-02-15T00:00:00Z,Staying the Course in an Unnerving Presidential Race,U.S.,679
11028,2016-02-15T00:00:00Z,A Crumbling Coney Island Landmark Is Getting a Makeover,N.Y. / Region,1190
11029,2016-02-15T00:00:00Z,Key Questions and Answers About Antonin Scalia and His Legacy,U.S.,676
11030,2016-02-15T00:00:00Z,"Syrian Officer Gave a View of War. ISIS Came, and Silence Followed.",World,2430
11031,2016-02-15T00:00:00Z,"Afghanistan Had Record Civilian Casualties in 2015, U.N. Says",World,1204
11032,2016-02-15T13:00:00Z,Building a Résumé Isn't the First Priority,Business Day,1181
11033,2016-02-15T13:00:00Z,"Spain’s Liga, a Perilous Caldron for Managers",Sports,967
11034,2016-02-15T13:00:00Z,"England, Seeking New Era, Is in the Six Nations Hunt",Sports,820
11035,2016-02-15T00:00:00Z,Creating a Computer Voice That People Like,Technology,1206
11036,2016-02-15T00:00:00Z,Fashion Week: Shows to Share With Your Valentine,Fashion & Style,391
11037,2016-02-15T00:00:00Z,Republican Debate Takeaways: Saturday Night Fighting,U.S.,1070
11038,2016-02-15T00:00:00Z,"AT&amp;T’s Strategy Is One Part Innovation, One Part Inspiration",Technology,545
11039,2016-02-15T00:00:00Z,"In Met’s ‘Manon Lescaut,’ Classic Love Story Gets Noir Twist",Arts,1206
11040,2016-02-15T00:00:00Z,"Review: Liliane Montevecchi, Still a Proudly Glittering Gamine at 83",Arts,368
11041,2016-02-15T13:00:00Z,Putting a Price on the Zeitgeist,Arts,1252
11042,2016-02-15T19:55:18Z,Presidential Campaign Ads of the 2016 Election,U.S.,
11043,2016-02-16T00:00:00Z,Vanessa Moody Transforms at Cavalli,T Magazine,
11044,2016-02-16T00:00:00Z,Lululeika Ravn Liep Transforms at Rodarte,T Magazine,
11045,2016-02-16T00:00:00Z,Narciso Rodriguez: Fall 2016 RTW,Fashion & Style,11
11046,2016-02-16T23:01:23+0000,John Kasich Hopes for Another Success Story in Michigan,U.S.,1125
11047,2016-02-16T00:00:00Z,‘The People v. O.J. Simpson’ Episode 3: The Dream Team Assembles,Arts,1033
11048,2016-02-16T22:00:43Z,Who I Am Inside,Crosswords & Games,494
11049,2016-02-16T00:00:00Z,Mexico’s Kingpin Strategy Against the Drug Cartels,World,
11050,2016-02-16T21:30:45Z,Sarah Parcak to Use TED Prize Money for Crowdsourcing on Archaeological Sites,Arts,359
11051,2016-02-16T00:00:00Z,Oscar de la Renta: Fall 2016 RW,Fashion & Style,8
11052,2016-02-16T00:00:00Z,"At Oscar de la Renta, an Innocent, Idyllic Beauty Look",T Magazine,252
11053,2016-02-16T20:26:41+0000,"‘West of Eden,’ by Jean Stein",Books,1595
11054,2016-02-16T20:05:06+0000,How Mansur Gavriel Turned a White Box Into a Cozy Home,T Magazine,132
11055,2016-02-16T19:25:18+0000,The Sound and the Furry,Sports,
11056,2016-02-16T19:18:22Z,Bill Clinton Makes Case for Hillary Clinton&#8217;s Candidacy in South Carolina,U.S.,640
11057,2016-02-16T00:00:00Z,Rosie Assoulin Sees the Light,Fashion & Style,323
11058,2016-02-16T00:00:00Z,Rodarte’s Fall Show,Fashion & Style,13
11059,2016-02-16T00:00:00Z,Coach: Fall 2016 RTW,Fashion & Style,12
11060,2016-02-16T00:00:00Z,"Off the Runway: Fashion Week, Day 6",Fashion & Style,44
11061,2016-02-16T00:00:00Z,Rosie Assoulin: Fall 2016 RTW,Fashion & Style,11
11062,2016-02-16T00:00:00Z,Off the Runway: Feb. 16,Fashion & Style,10
11063,2016-02-16T00:00:00Z,Review of New York Police Department's Street Stops,N.Y. / Region,
11064,2016-02-16T18:10:09Z,"In N.F.L.’s Trying 2014, Roger Goodell Earned $34.1 Million",Sports,666
11065,2016-02-16T00:00:00Z,Your Evening Briefing,NYT Now,12
11066,2016-02-16T00:00:00Z,"Your Tuesday Evening Briefing: Hillary Clinton, Cuba, Grammy Awards",NYT Now,743
11067,2016-02-16T00:00:00Z,The Daily Jewel: Rodarte,T Magazine,28
11068,2016-02-16T00:00:00Z,A Patient Shot in His Hospital Room? Evolution of a Times Story,Times Insider,1142
11069,2016-02-16T17:53:23Z,Donald J. Trump and Hillary Clinton Easily Top New Poll in South Carolina,U.S.,368
11070,2016-02-16T00:00:00Z,Accessories Designers Grab Some Fashion Week Heat,Fashion & Style,279
11071,2016-02-16T17:41:07Z,"In Speech on Ending Racism, Hillary Clinton Offers $125 Billion Plan to Help Poor Minorities",U.S.,695
11072,2016-02-16T00:00:00Z,Kirsten Dunst and Jennifer Jason Leigh Bask in Rodarte’s Spell,Fashion & Style,368
11073,2016-02-16T00:00:00Z,A Famous Texan Socialite on Feeling Comfortable in Couture,T Magazine,610
11074,2016-02-16T00:00:00Z,The Art and Fashion of Lynn Wyatt’s Paddle8 Auction,T Magazine,16
11075,2016-02-16T16:59:15Z,"Michael Moore Says No, Donald Trump Is Not Like Him",U.S.,541
11076,2016-02-16T00:00:00Z,They Held Power. They Stole Millions.,Business Day,
11077,2016-02-16T16:54:27Z,"Feb. 16, 2016 — Photos of the Day",Multimedia/Photos,17
11078,2016-02-16T00:00:00Z,A.P.C.: Fall 2016 RTW,Fashion & Style,7
11079,2016-02-16T00:00:00Z,Gypsy Sport: Fall 2016 RTW,Fashion & Style,4
11080,2016-02-16T16:13:44Z,Grammys Ratings Hold Steady as Awards Move to a New Night,Arts,179
11081,2016-02-16T16:12:45Z,Bernie Sanders Pledges to Focus on the Plight of Disenfranchised Blacks,U.S.,757
11082,2016-02-16T00:00:00Z,"Your Daily Fashion Week Recap for Tuesday, Feb. 16",T Magazine,269
11083,2016-02-16T00:00:00Z,New York Fashion Week: Street Style,Fashion & Style,12
11084,2016-02-16T00:00:00Z,Music by Fashion’s Most In-Demand Sound Director — for Chloë Sevigny,T Magazine,260
11085,2016-02-16T00:00:00Z,Purple Magazine and Jeremy Scott Keep the Fashion Party Going,Fashion & Style,36
11086,2016-02-16T00:00:00Z,Purple Magazine and Jeremy Scott Keep the Fashion Party Going,Fashion & Style,19
11087,2016-02-16T00:00:00Z,Where to Eat in Atlanta,Food,
11088,2016-02-16T00:00:00Z,The Daily Shoe: The Row,T Magazine,42
11089,2016-02-16T00:00:00Z,A.P.C’s Jean Touitou on Beauty — and Coming to New York,T Magazine,1048
11090,2016-02-16T14:30:59Z,"Jeb Bush, That Subtle Jokester, Isn&#8217;t &#8216;Looking&#8217; So Good",U.S.,247
